Brnd_Name,Gnrc_Name,RxCUI,ATC_Code,ATC_Class,ATC_L1,MESH_Class,Match_Type
Orencia,Abatacept,616011.0,L04AA,Selective immunosuppressants,Antineoplastic and immunomodulating agents,"Arthritis, Juvenile",exact
Orencia Clickject,Abatacept,1803557.0,,,,"Arthritis, Juvenile",approx
Orenitram ER,Treprostinil Diolamine,1488666.0,B01AC,Platelet aggregation inhibitors excl. heparin,Blood and blood forming organs,"Hypertension, Pulmonary",approx
Orenitram Month 1 Titration Kt,Treprostinil Diolamine,2630667.0,B01AC,Platelet aggregation inhibitors excl. heparin,Blood and blood forming organs,"Hypertension, Pulmonary",approx
Orenitram Month 2 Titration Kt,Treprostinil Diolamine,2630669.0,B01AC,Platelet aggregation inhibitors excl. heparin,Blood and blood forming organs,"Hypertension, Pulmonary",approx
Orenitram Month 3 Titration Kt,Treprostinil Diolamine,2630671.0,B01AC,Platelet aggregation inhibitors excl. heparin,Blood and blood forming organs,"Hypertension, Pulmonary",approx
Orfadin,Nitisinone,326381.0,A16AX,Various alimentary tract and metabolism products,Alimentary tract and metabolism,Tyrosinemias,exact
Orgovyx,Relugolix,2472784.0,L02BX,Other hormone antagonists and related agents,Antineoplastic and immunomodulating agents,Prostatic Neoplasms,exact
Oriahnn,Elagolix/Estradiol/Norethindrn,2383058.0,,,,,approx
Orilissa,Elagolix Sodium,2049853.0,H01CC,Anti-gonadotropin-releasing hormones,Systemic hormonal preparations,Abdominal Pain,exact
Orkambi,Lumacaftor/IVacaftor,1655929.0,R07AX,Other respiratory system products,Respiratory system,Cystic Fibrosis,exact
Orladeyo,Berotralstat Hydrochloride,2467566.0,B06AC,Drugs used in hereditary angioedema,Blood and blood forming organs,,exact
Orlistat,Orlistat,37925.0,A08AB,Peripherally acting antiobesity products,Alimentary tract and metabolism,Obesity,exact
Orphenadrine Citrate,Orphenadrine Citrate,202723.0,N04AB,Ethers chemically close to antihistamines,Nervous system,Pain,exact
Orphenadrine Citrate ER,Orphenadrine Citrate,2646635.0,M03BC,"Ethers, chemically close to antihistamines",Musculo-skeletal system,Pain,approx
Orphenadrine-Aspirin-Caffeine,Orphenadrine/Aspirin/Caffeine,466549.0,A01AD,Other agents for local oral treatment,Alimentary tract and metabolism,Gout,exact
Orphengesic Forte,Orphenadrine/Aspirin/Caffeine,261600.0,,,,,approx
Orserdu,Elacestrant HCl,2628479.0,L02BA,Anti-estrogens,Antineoplastic and immunomodulating agents,Breast Neoplasms,exact
Ortikos,Budesonide,2273102.0,A07EA,Corticosteroids acting locally,Alimentary tract and metabolism,Inflammatory Bowel Diseases,exact
Oscimin,Hyoscyamine Sulfate,1146685.0,A03BA,"Belladonna alkaloids, tertiary amines",Alimentary tract and metabolism,Colic,exact
Oscimin Sl,Hyoscyamine Sulfate,1146685.0,A03BA,"Belladonna alkaloids, tertiary amines",Alimentary tract and metabolism,Colic,approx
Oseltamivir Phosphate,Oseltamivir Phosphate,259275.0,J05AH,Neuraminidase inhibitors,Anti-infectives for systemic use,"Influenza, Human",exact
Oseni,Alogliptin Benz/Pioglitazone,1372717.0,A10BH,Dipeptidyl peptidase 4 (DPP-4) inhibitors,Alimentary tract and metabolism,"Diabetes Mellitus, Type 2",exact
Osmolex ER,Amantadine HCl,2049168.0,,,,Dystonia,approx
Osphena,Ospemifene,1370977.0,G03XC,Selective estrogen receptor modulators,Genito-urinary system and sex hormones,Atrophy,exact
Otezla,Apremilast,1492733.0,L04AA,Selective immunosuppressants,Antineoplastic and immunomodulating agents,"Arthritis, Psoriatic",exact
Otovel,Ciprofloxacin HCl/Fluocinolone,1792387.0,J01MA,Fluoroquinolones,Anti-infectives for systemic use,Pruritus,exact
Otrexup,Methotrexate/PF,1441403.0,L01BA,Folic acid analogues,Antineoplastic and immunomodulating agents,Leukemia,exact
Oxacillin,Oxacillin In Dextrose(Iso-Osm),7773.0,J01CF,Beta-lactamase resistant penicillins,Anti-infectives for systemic use,Sepsis,exact
Oxacillin Sodium,Oxacillin Sodium,9898.0,J01CF,Beta-lactamase resistant penicillins,Anti-infectives for systemic use,Sepsis,exact
Oxaliplatin,Oxaliplatin,32592.0,L01XA,Platinum compounds,Antineoplastic and immunomodulating agents,Ovarian Neoplasms,exact
Oxandrolone,Oxandrolone,7779.0,A14AA,Androstan derivatives,Alimentary tract and metabolism,Emaciation,exact
Oxaprozin,Oxaprozin,32613.0,M01AE,Propionic acid derivatives,Musculo-skeletal system,Osteoarthritis,exact
Oxaydo,Oxycodone HCl,1664443.0,N02AA,Natural opium alkaloids,Nervous system,Postoperative Pain,exact
Oxazepam,Oxazepam,7781.0,N05BA,Benzodiazepine derivatives,Nervous system,Anxiety Disorders,exact
Oxbryta,Voxelotor,2265684.0,B06AX,Other hematological agents,Blood and blood forming organs,"Anemia, Sickle Cell",exact
Oxcarbazepine,Oxcarbazepine,32624.0,N03AF,Carboxamide derivatives,Nervous system,"Epilepsies, Partial",exact
Oxervate,Cenegermin-Bkbj,2104337.0,S01XA,Other ophthalmologicals,Sensory organs,Keratitis,exact
Oxiconazole Nitrate,Oxiconazole Nitrate,32638.0,D01AC,Imidazole and triazole derivatives,Dermatologicals,Tinea Pedis,exact
Oxistat,Oxiconazole Nitrate,218977.0,D01AC,Imidazole and triazole derivatives,Dermatologicals,Tinea Pedis,exact
Oxtellar XR,Oxcarbazepine,1365655.0,N03AF,Carboxamide derivatives,Nervous system,"Epilepsies, Partial",exact
Oxybutynin Chloride,Oxybutynin Chloride,32675.0,G04BD,Drugs for urinary frequency and incontinence,Genito-urinary system and sex hormones,Dysuria,exact
Oxybutynin Chloride ER,Oxybutynin Chloride,669260.0,,,,Dysuria,approx
Oxycodone HCl,Oxycodone HCl,7804.0,N02AA,Natural opium alkaloids,Nervous system,Postoperative Pain,exact
Oxycodone HCl ER,Oxycodone HCl,607191.0,,,,Postoperative Pain,approx
Oxycodone-Acetaminophen,Oxycodone HCl/Acetaminophen,214183.0,N02BE,Anilides,Nervous system,Pain,exact
Oxycontin,Oxycodone HCl,218986.0,N02AA,Natural opium alkaloids,Nervous system,Postoperative Pain,exact
Oxymorphone HCl,Oxymorphone HCl,7814.0,N02AA,Natural opium alkaloids,Nervous system,Pain,exact
Oxymorphone HCl ER,Oxymorphone HCl,1150345.0,,,,Pain,approx
Oxytrol,Oxybutynin,356886.0,G04BD,Drugs for urinary frequency and incontinence,Genito-urinary system and sex hormones,Dysuria,exact
Ozempic,Semaglutide,1991307.0,A10BJ,Glucagon-like peptide-1 (GLP-1) analogues,Alimentary tract and metabolism,,exact
Ozurdex,Dexamethasone,854178.0,A01AC,Corticosteroids for local oral treatment,Alimentary tract and metabolism,Iritis,exact
PEG 3350-Electrolyte,Sodium Chloride/NaHCO3/KCl/PEG,318115.0,,,,,approx
PEG-3350 And Electrolytes,"PEG3350/Sod Sulf,Bicarb,Cl/KCl",691089.0,,,,,approx
PEG3350-Sod Sul-NaCl-KCl-Asb-C,PEG3350/Sod Sul/NaCl/KCl/Asb/C,2045244.0,A11GA,"Ascorbic acid (vitamin C), plain",Alimentary tract and metabolism,Scurvy,approx
PEGasys,PEGinterferon Alfa-2a,358338.0,L03AB,Interferons,Antineoplastic and immunomodulating agents,Warts,exact
PNV Tabs 20-1,PNV No.163/Iron/Folate No.10,2476274.0,,,,,approx
PNV-DHA,Multivit 47/Iron/Folate 1/DHA,892769.0,,,,,approx
PNV-Omega,Mv-Mins 71/Iron/Folic No.1/DHA,1150303.0,,,,,approx
PNV-Select,"Prenatal,Calc.40/Iron/Folate 1",892768.0,,,,,approx
Pacerone,Amiodarone HCl,219038.0,C01BD,"Antiarrhythmics, class III",Cardiovascular system,Ventricular Fibrillation,exact
Paclitaxel,Paclitaxel,56946.0,L01CD,Taxanes,Antineoplastic and immunomodulating agents,"Sarcoma, Kaposi",exact
Paclitaxel Protein-Bound,Paclitaxel Protein-Bound,486610.0,L01CD,Taxanes,Antineoplastic and immunomodulating agents,"Sarcoma, Kaposi",exact
Padcev,Enfortumab Vedotin-Ejfv,2268093.0,,,,Urinary Bladder Neoplasms,exact
Paliperidone ER,Paliperidone,1721030.0,,,,Schizophrenia,approx
Palonosetron HCl,Palonosetron HCl,397405.0,A04AA,Serotonin (5HT3) antagonists,Alimentary tract and metabolism,,exact
Palynziq,PEGvaliase-Pqpz,2046366.0,A16AB,Enzymes,Alimentary tract and metabolism,Phenylketonurias,exact
Pamelor,Nortriptyline HCl,7866.0,N06AA,Non-selective monoamine reuptake inhibitors,Nervous system,Pain,exact
Pamidronate Disodium,Pamidronate Disodium,105443.0,,,,Osteolysis,exact
Pancreaze,Lipase/Protease/Amylase,1372686.0,A09AA,Enzyme preparations,Alimentary tract and metabolism,Exocrine Pancreatic Insufficiency,exact
Pandel,Hydrocortisone Probutate,219083.0,D07AB,"Corticosteroids, moderately potent (group II)",Dermatologicals,Shock,exact
Panretin,Alitretinoin,219098.0,D11AH,"Agents for dermatitis, excluding corticosteroids",Dermatologicals,Skin Diseases,exact
Pantoprazole Sodium*,Pantoprazole Sodium,253191.0,A02BC,Proton pump inhibitors,Alimentary tract and metabolism,Heartburn,exact
Panzyga,Immun Glob G(IgG)-Ifas/Glycine,2102436.0,,,,Sepsis,exact
Paricalcitol*,Paricalcitol,73710.0,H05BX,Other anti-parathyroid agents,Systemic hormonal preparations,Hyperparathyroidism,exact
Parnate,Tranylcypromine Sulfate,203832.0,N06AF,"Monoamine oxidase inhibitors, non-selective",Nervous system,Depressive Disorder,exact
Paromomycin Sulfate,Paromomycin Sulfate,66912.0,A07AA,Antibiotics,Alimentary tract and metabolism,Amebiasis,exact
Paroxetine Cr,Paroxetine HCl,32937.0,N06AB,Selective serotonin reuptake inhibitors,Nervous system,Panic Disorder,approx
Paroxetine ER,Paroxetine HCl,562789.0,N06AB,Selective serotonin reuptake inhibitors,Nervous system,Panic Disorder,approx
Paroxetine HCl,Paroxetine HCl,235830.0,N06AB,Selective serotonin reuptake inhibitors,Nervous system,Panic Disorder,exact
Paroxetine Mesylate,Paroxetine Mesylate,235830.0,N06AB,Selective serotonin reuptake inhibitors,Nervous system,Panic Disorder,exact
Patanase,Olopatadine HCl,795090.0,R01AC,"Antiallergic agents, excl. corticosteroids",Respiratory system,"Conjunctivitis, Allergic",exact
Paxil,Paroxetine HCl,114228.0,N06AB,Selective serotonin reuptake inhibitors,Nervous system,Panic Disorder,exact
Paxil Cr,Paroxetine HCl,261604.0,,,,Panic Disorder,approx
Paxlovid,Nirmatrelvir/Ritonavir,2591200.0,,,,,approx
Paxlovid (Eua),Nirmatrelvir/Ritonavir,2591200.0,,,,,approx
Pazopanib HCl,Pazopanib HCl,714438.0,L01EX,Other protein kinase inhibitors,Antineoplastic and immunomodulating agents,"Carcinoma, Renal Cell",exact
Pediarix,Hep B Vaccine/Dp(A)t-Polio/PF,352877.0,J07AF,Diphtheria vaccines,Anti-infectives for systemic use,,exact
Pedvaxhib,Haemph B Polysac Conj-Menin/PF,798448.0,,,,,exact
Pemazyre,Pemigatinib,2359335.0,L01EN,Fibroblast growth factor receptor (FGFR) tyrosine kinase inhibitors,Antineoplastic and immunomodulating agents,Cholangiocarcinoma,exact
Pemetrexed Disodium,Pemetrexed Disodium,282443.0,L01BA,Folic acid analogues,Antineoplastic and immunomodulating agents,Mesothelioma,exact
Pen Needle,"Pen Needle, Diabetic",637093.0,,,,,approx
Pen Needles,"Pen Needle, Diabetic",637093.0,,,,,approx
Penciclovir,Penciclovir,59839.0,D06BB,Antivirals,Dermatologicals,Herpes Labialis,exact
Penicillamine,Penicillamine,7975.0,M01CC,Penicillamine and similar agents,Musculo-skeletal system,Cystinuria,exact
Penicillin G Potassium,Penicillin G Potassium,203133.0,J01CE,Beta-lactamase sensitive penicillins,Anti-infectives for systemic use,Sepsis,exact
Penicillin G Procaine,Penicillin G Procaine,7983.0,J01CE,Beta-lactamase sensitive penicillins,Anti-infectives for systemic use,Sepsis,exact
Penicillin G Sodium,Penicillin G Sodium,9900.0,J01CE,Beta-lactamase sensitive penicillins,Anti-infectives for systemic use,Sepsis,exact
Penicillin Gk-Iso-Osm Dextrose,Pen G Pot/Dextrose-Water,408105.0,,,,,approx
Penicillin V Potassium,Penicillin V Potassium,203195.0,J01CE,Beta-lactamase sensitive penicillins,Anti-infectives for systemic use,Sepsis,exact
Pennsaid,Diclofenac Sodium,967941.0,D11AX,Other dermatologicals,Dermatologicals,Keratosis,exact
Pentacel,"Dipht,Pert(A),Tet-Polio/Hib/PF",674453.0,J07AF,Diphtheria vaccines,Anti-infectives for systemic use,,exact
Pentamidine Isethionate*,Pentamidine Isethionate,7995.0,P01CX,Other agents against leishmaniasis and trypanosomiasis,Antiparasitic products,Trypanosomiasis,exact
Pentasa,Mesalamine,196495.0,A07EC,Aminosalicylic acid and similar agents,Alimentary tract and metabolism,Proctitis,exact
Pentazocine-Naloxone HCl,Pentazocine HCl/Naloxone HCl,214721.0,N02AD,Benzomorphan derivatives,Nervous system,"Shock, Septic",exact
Pentips,"Pen Needle, Diabetic",2610644.0,,,,,approx
Pentoxifylline,Pentoxifylline,8013.0,C04AD,Purine derivatives,Cardiovascular system,Stroke,exact
Pepcid,Famotidine,196458.0,A02BA,H2-receptor antagonists,Alimentary tract and metabolism,Dyspepsia,exact
Percocet,Oxycodone HCl/Acetaminophen,42844.0,N02BE,Anilides,Nervous system,Pain,exact
Perforomist,Formoterol Fumarate,723732.0,R03AC,Selective beta-2-adrenoreceptor agonists,Respiratory system,Asthma,exact
Perindopril Erbumine,Perindopril Erbumine,72260.0,C09AA,"ACE inhibitors, plain",Cardiovascular system,Hypertension,exact
Periogard,Chlorhexidine Gluconate,219169.0,A01AB,Antiinfectives and antiseptics for local oral treatment,Alimentary tract and metabolism,"Candidiasis, Oral",exact
Perjeta,Pertuzumab,1298949.0,L01FD,HER2 (Human Epidermal Growth Factor Receptor 2) inhibitors,Antineoplastic and immunomodulating agents,Breast Neoplasms,exact
