Brnd_Name,Gnrc_Name,RxCUI,ATC_Code,ATC_Class,ATC_L1,MESH_Class,Match_Type
Complete Natal DHA,PNV Cmb 52/Iron/FA/Omega-3/DHA,1947722.0,,,,,approx
Completenate,Prenatal Vit 14/Iron Fum/Folic,846156.0,,,,,approx
Compro,Prochlorperazine,285056.0,N05AB,Phenothiazines with piperazine structure,Nervous system,Nausea,exact
Comtan,Entacapone,262112.0,N04BX,Other dopaminergic agents,Nervous system,Parkinson Disease,exact
Concept DHA,Mvn-Min75/Iron/Iron Ps/Om3/DHA,858646.0,,,,,approx
Concerta,Methylphenidate HCl,284704.0,N06BA,Centrally acting sympathomimetics,Nervous system,Narcolepsy,exact
Condylox,Podofilox,203492.0,D06BB,Antivirals,Dermatologicals,Warts,exact
Constulose,Lactulose,216201.0,A06AD,Osmotically acting laxatives,Alimentary tract and metabolism,Constipation,exact
Contrave,Naltrexone HCl/Bupropion HCl,1551469.0,A08AA,Centrally acting antiobesity products,Alimentary tract and metabolism,Alcoholism,exact
Conzip,Tramadol HCl,1148479.0,N02AX,Other opioids,Nervous system,Pain,exact
Copaxone,Glatiramer Acetate,135779.0,L03AX,Other immunostimulants,Antineoplastic and immunomodulating agents,"Multiple Sclerosis, Relapsing-Remitting",exact
Copiktra,Duvelisib,2058515.0,L01EM,Phosphatidylinositol-3-kinase (Pi3K) inhibitors,Antineoplastic and immunomodulating agents,"Leukemia, Lymphocytic, Chronic, B-Cell",exact
Cordran,Flurandrenolide,216218.0,D07AC,"Corticosteroids, potent (group III)",Dermatologicals,Inflammation,exact
Coreg,Carvedilol,216221.0,C07AG,Alpha and beta blocking agents,Cardiovascular system,Hypertension,exact
Coreg Cr,Carvedilol Phosphate,669036.0,,,,Hypertension,approx
Corgard,Nadolol,151549.0,C07AA,"Beta blocking agents, non-selective",Cardiovascular system,Hypertension,exact
Corlanor,IVabradine HCl,1649486.0,C01EB,Other cardiac preparations,Cardiovascular system,Heart Failure,exact
Cortef,Hydrocortisone,202645.0,A01AC,Corticosteroids for local oral treatment,Alimentary tract and metabolism,Shock,exact
Cortenema,Hydrocortisone,202639.0,A01AC,Corticosteroids for local oral treatment,Alimentary tract and metabolism,Shock,exact
Cortifoam,Hydrocortisone Acetate,92265.0,A01AC,Corticosteroids for local oral treatment,Alimentary tract and metabolism,Shock,exact
Cortisporin-Tc,Neomyc/Colist/Hydrocort/Thonzn,216244.0,A07AA,Antibiotics,Alimentary tract and metabolism,Shock,exact
Cortrophin,Corticotropin,2584471.0,H01AA,ACTH,Systemic hormonal preparations,Uveitis,exact
Cosela,Trilaciclib Dihydrochloride,2479706.0,V03AF,Detoxifying agents for antineoplastic treatment,Various,,exact
Cosentyx (2 Syringes),Secukinumab,2703596.0,,,,"Arthritis, Psoriatic",approx
Cosentyx Sensoready (2 Pens),Secukinumab,1604360.0,,,,"Arthritis, Psoriatic",approx
Cosentyx Sensoready Pen,Secukinumab,1604360.0,,,,"Arthritis, Psoriatic",approx
Cosentyx Syringe,Secukinumab,1599795.0,L04AC,Interleukin inhibitors,Antineoplastic and immunomodulating agents,"Arthritis, Psoriatic",approx
Cosentyx Unoready Pen,Secukinumab,2672470.0,,,,"Arthritis, Psoriatic",approx
Cosopt,Dorzolamide HCl/Timolol Maleat,216253.0,C07AA,"Beta blocking agents, non-selective",Cardiovascular system,Hypertension,exact
Cosopt PF,Dorzolamide/Timolol/PF,216253.0,C07AA,"Beta blocking agents, non-selective",Cardiovascular system,Hypertension,exact
Cotellic,Cobimetinib Fumarate,1722371.0,L01EE,Mitogen-activated protein kinase (MEK) inhibitors,Antineoplastic and immunomodulating agents,Melanoma,exact
Cotempla XR-ODT,Methylphenidate,1944715.0,,,,Narcolepsy,approx
Cozaar,Losartan Potassium,151558.0,C09CA,"Angiotensin II receptor blockers (ARBs), plain",Cardiovascular system,Hypertension,exact
Creon,Lipase/Protease/Amylase,48470.0,A09AA,Enzyme preparations,Alimentary tract and metabolism,Exocrine Pancreatic Insufficiency,exact
Cresemba*,Isavuconazonium Sulfate,1608328.0,,,,,exact
Crestor,Rosuvastatin Calcium,320864.0,C10AA,HMG CoA reductase inhibitors,Cardiovascular system,Hypercholesterolemia,exact
Crinone,"Progesterone, Micronized",153581.0,G03DA,Pregnen (4) derivatives,Genito-urinary system and sex hormones,Amenorrhea,exact
Cromolyn Sodium*,Cromolyn Sodium,3538.0,A07EB,"Antiallergic agents, excl. corticosteroids",Alimentary tract and metabolism,Asthma,exact
Crotan,Crotamiton,2049599.0,,,,Scabies,exact
Cryselle,Norgestrel-Ethinyl Estradiol,404964.0,,,,Menorrhagia,approx
Crysvita,Burosumab-Twza,2043860.0,M05BX,Other drugs affecting bone structure and mineralization,Musculo-skeletal system,Familial Hypophosphatemic Rickets,exact
Cuprimine,Penicillamine,202724.0,M01CC,Penicillamine and similar agents,Musculo-skeletal system,Cystinuria,exact
Curity,Gauze Bandage,805808.0,,,,,approx
Curity Alcohol Preps,Alcohol Antiseptic Pads,805808.0,,,,,approx
Cutaquig,Immun Glob G(IgG)-Hipp/Maltose,2167148.0,,,,Immunologic Deficiency Syndromes,exact
Cuvitru,Immun Glob G(IgG)/Gly/IgA Ov50,1813407.0,,,,Immunologic Deficiency Syndromes,exact
Cuvposa,Glycopyrrolate,999962.0,D11AA,Antihidrotics,Dermatologicals,Peptic Ulcer,exact
Cuvrior,Trientine Tetrahydrochloride,2611545.0,A16AX,Various alimentary tract and metabolism products,Alimentary tract and metabolism,Hepatolenticular Degeneration,exact
Cyanocobalamin Injection,Cyanocobalamin (Vitamin B-12),11248.0,B03BA,Vitamin B12 (cyanocobalamin and analogues),Blood and blood forming organs,"Anemia, Pernicious",approx
Cyclobenzaprine HCl,Cyclobenzaprine HCl,21949.0,M03BX,Other centrally acting agents,Musculo-skeletal system,Pain,exact
Cyclobenzaprine HCl ER,Cyclobenzaprine HCl,1115029.0,,,,Pain,approx
Cyclogyl,Cyclopentolate HCl,2984.0,S01FA,Anticholinergics,Sensory organs,,exact
Cyclomydril,Cyclopentolate/Phenylephrine,92290.0,S01FA,Anticholinergics,Sensory organs,Hemorrhoids,exact
Cyclopentolate HCl,Cyclopentolate HCl,106029.0,S01FA,Anticholinergics,Sensory organs,,exact
Cyclophosphamide*,Cyclophosphamide,2679071.0,L01AA,Nitrogen mustard analogues,Antineoplastic and immunomodulating agents,Neuroblastoma,exact
Cycloserine,Cycloserine,3007.0,J04AB,Antibiotics,Anti-infectives for systemic use,Tuberculosis,exact
Cycloset,Bromocriptine Mesylate,859078.0,G02CB,Prolactine inhibitors,Genito-urinary system and sex hormones,Adenoma,exact
Cyclosporine Modified,"Cyclosporine, Modified",236077.0,L04AD,Calcineurin inhibitors,Antineoplastic and immunomodulating agents,Psoriasis,exact
Cyclosporine*,Cyclosporine,3008.0,L04AD,Calcineurin inhibitors,Antineoplastic and immunomodulating agents,Psoriasis,exact
Cyltezo(Cf),Adalimumab-Adbm,2640885.0,L04AB,Tumor necrosis factor alpha (TNF-alpha) inhibitors,Antineoplastic and immunomodulating agents,Uveitis,approx
Cyltezo(Cf) Pen,Adalimumab-Adbm,2668928.0,,,,Uveitis,approx
Cymbalta,Duloxetine HCl,482574.0,N06AX,Other antidepressants,Nervous system,Anxiety Disorders,exact
CyproHEPtadine HCl,CyproHEPtadine HCl,104592.0,R06AX,Other antihistamines for systemic use,Respiratory system,Pruritus,exact
Cyramza,Ramucirumab,1535993.0,L01FG,VEGF/VEGFR (Vascular Endothelial Growth Factor / -Receptor) inhibitors,Antineoplastic and immunomodulating agents,Stomach Neoplasms,exact
Cyred Eq,Desogestrel-Ethinyl Estradiol,2105908.0,,,,Menorrhagia,approx
Cystadane,Betaine,404967.0,A16AA,Amino acids and derivatives,Alimentary tract and metabolism,Homocystinuria,exact
Cystadrops,Cysteamine HCl,2396901.0,A16AA,Amino acids and derivatives,Alimentary tract and metabolism,Cystinosis,exact
Cystagon,Cysteamine Bitartrate,227215.0,A16AA,Amino acids and derivatives,Alimentary tract and metabolism,Cystinosis,exact
Cystaran,Cysteamine HCl,1313781.0,A16AA,Amino acids and derivatives,Alimentary tract and metabolism,Cystinosis,exact
Cytarabine,Cytarabine,3041.0,L01XY,Combinations of antineoplastic agents,Antineoplastic and immunomodulating agents,Leukemia,exact
Cytogam,Cytomegalovirus Immune Globuln,216315.0,J06BB,Specific immunoglobulins,Anti-infectives for systemic use,,exact
Cytomel,Liothyronine Sodium,3081.0,H03AA,Thyroid hormones,Systemic hormonal preparations,Goiter,exact
Cytotec,Misoprostol,151578.0,A02BB,Prostaglandins,Alimentary tract and metabolism,,exact
Dabigatran Etexilate,Dabigatran Etexilate Mesylate,1037041.0,B01AE,Direct thrombin inhibitors,Blood and blood forming organs,Venous Thrombosis,exact
Dacarbazine,Dacarbazine,3098.0,L01AX,Other alkylating agents,Antineoplastic and immunomodulating agents,Melanoma,exact
Dalfampridine ER,Dalfampridine,2058379.0,,,,Multiple Sclerosis,approx
Daliresp,Roflumilast,1091840.0,D05AX,Other antipsoriatics for topical use,Dermatologicals,"Pulmonary Disease, Chronic Obstructive",exact
Dalvance,Dalbavancin HCl,1539244.0,J01XA,Glycopeptide antibacterials,Anti-infectives for systemic use,Streptococcal Infections,exact
Danazol,Danazol,3102.0,G03XA,Antigonadotropins and similar agents,Genito-urinary system and sex hormones,Endometriosis,exact
Dantrium,Dantrolene Sodium,3104.0,M03CA,Dantrolene and derivatives,Musculo-skeletal system,Cerebral Palsy,exact
Dantrolene Sodium,Dantrolene Sodium,3106.0,M03CA,Dantrolene and derivatives,Musculo-skeletal system,Cerebral Palsy,exact
Dapsone*,Dapsone,3108.0,D10AX,Other anti-acne preparations for topical use,Dermatologicals,"Leprosy, Lepromatous",exact
Daptacel DTaP,"Diph,Pertuss(Acell),Tet Ped/PF",731405.0,,,,,approx
Daptomycin,Daptomycin,22299.0,J01XX,Other antibacterials,Anti-infectives for systemic use,Bacteremia,exact
Daptomycin-0.9% NaCl,Daptomycin In 0.9 % Sod Chlor,2667933.0,,,,,approx
Daraprim,Pyrimethamine,151583.0,P01BD,Diaminopyrimidines,Antiparasitic products,Toxoplasmosis,exact
Darifenacin ER,Darifenacin Hydrobromide,1790549.0,,,,"Urinary Incontinence, Urge",approx
Dartisla,Glycopyrrolate,2589275.0,D11AA,Antihidrotics,Dermatologicals,Peptic Ulcer,exact
Darunavir,Darunavir,2637854.0,J05AE,Protease inhibitors,Anti-infectives for systemic use,Acquired Immunodeficiency Syndrome,exact
Darzalex,Daratumumab,1721952.0,L01FC,CD38 (Clusters of Differentiation 38) inhibitors,Antineoplastic and immunomodulating agents,Multiple Myeloma,exact
Darzalex Faspro,Daratumumab-Hyaluronidase-Fihj,2375137.0,L01FC,CD38 (Clusters of Differentiation 38) inhibitors,Antineoplastic and immunomodulating agents,Multiple Myeloma,exact
Dasetta,Norethindrone-Ethin. Estradiol,1358106.0,,,,,approx
Daurismo,Glasdegib Maleate,2105851.0,L01XJ,Hedgehog pathway inhibitors,Antineoplastic and immunomodulating agents,"Leukemia, Myeloid, Acute",exact
Daybue,Trofinetide,2632858.0,N07XX,Other nervous system drugs,Nervous system,Rett Syndrome,exact
Daypro,Oxaprozin,157381.0,M01AE,Propionic acid derivatives,Musculo-skeletal system,Osteoarthritis,exact
Daysee,L-Norgest/E.Estradiol-E.Estrad,1425928.0,,,,,approx
Daytrana,Methylphenidate,631252.0,N06BA,Centrally acting sympathomimetics,Nervous system,Narcolepsy,exact
Dayvigo,Lemborexant,2272409.0,N05CJ,Orexin receptor antagonists,Nervous system,Sleep Initiation and Maintenance Disorders,exact
Ddavp*,Desmopressin Acetate,203658.0,H01BA,Vasopressin and analogues,Systemic hormonal preparations,Enuresis,exact
Deblitane,Norethindrone,1593418.0,,,,Menorrhagia,approx
Decitabine,Decitabine,15657.0,L01BC,Pyrimidine analogues,Antineoplastic and immunomodulating agents,Myelodysplastic Syndromes,exact
Deferasirox,Deferasirox,614373.0,V03AC,Iron chelating agents,Various,Iron Overload,exact
Deferiprone,Deferiprone,11645.0,V03AC,Iron chelating agents,Various,Iron Overload,exact
Deferiprone (3 Times A Day),Deferiprone,2683701.0,,,,Iron Overload,approx
Deferoxamine Mesylate,Deferoxamine Mesylate,3131.0,V03AC,Iron chelating agents,Various,Bone Diseases,exact
Delestrogen,Estradiol Valerate,319865.0,G03CA,"Natural and semisynthetic estrogens, plain",Genito-urinary system and sex hormones,Menorrhagia,exact
Delstrigo,Doravirine/Lamivu/Tenofov Diso,2055774.0,J05AG,Non-nucleoside reverse transcriptase inhibitors,Anti-infectives for systemic use,"Hepatitis B, Chronic",exact
Delzicol,Mesalamine,1368955.0,A07EC,Aminosalicylic acid and similar agents,Alimentary tract and metabolism,Proctitis,exact
Demeclocycline HCl,Demeclocycline HCl,3154.0,D06AA,Tetracycline and derivatives,Dermatologicals,Plague,exact
Demerol,Meperidine HCl/PF,282381.0,N02AB,Phenylpiperidine derivatives,Nervous system,Pain,exact
Demser,Metyrosine,151594.0,C02KB,Tyrosine hydroxylase inhibitors,Cardiovascular system,Pheochromocytoma,exact
Denavir,Penciclovir,216450.0,D06BB,Antivirals,Dermatologicals,Herpes Labialis,exact
Denta 5000 Plus,Fluoride (Sodium),404980.0,A01AA,Caries prophylactic agents,Alimentary tract and metabolism,Osteoporosis,exact
Dentagel,Fluoride (Sodium),604432.0,A01AA,Caries prophylactic agents,Alimentary tract and metabolism,Osteoporosis,exact
Depakote,Divalproex Sodium,216459.0,N03AG,Fatty acid derivatives,Nervous system,Epilepsy,exact
Depakote ER,Divalproex Sodium,284710.0,,,,Epilepsy,approx
Depakote Sprinkle,Divalproex Sodium,216460.0,,,,Epilepsy,approx
Depo-Estradiol,Estradiol Cypionate,48876.0,G03CA,"Natural and semisynthetic estrogens, plain",Genito-urinary system and sex hormones,Menorrhagia,exact
Depo-Medrol,Methylprednisolone Acetate,22584.0,D07AA,"Corticosteroids, weak (group I)",Dermatologicals,Asthma,exact
Depo-Provera,Medroxyprogesterone Acetate,202886.0,G03AC,Progestogens,Genito-urinary system and sex hormones,Amenorrhea,exact
Depo-Subq Provera 104,Medroxyprogesterone Acetate,607374.0,,,,Amenorrhea,approx
Depo-Testosterone,Testosterone Cypionate,48877.0,G03BA,3-oxoandrosten (4) derivatives,Genito-urinary system and sex hormones,Hypogonadism,exact
Derma-Smoothe-FS,Fluocinolone Acetonide,352578.0,C05AA,Corticosteroids,Cardiovascular system,Pruritus,exact
Dermacea,Gauze Bandage,2727382.0,J01DD,Third-generation cephalosporins,Anti-infectives for systemic use,Cystitis,approx
Dermacinrx Lidocan,Lidocaine,2642344.0,C01BB,"Antiarrhythmics, class Ib",Cardiovascular system,Pain,approx
Dermacinrx Lidogel,Lidocaine HCl,2587657.0,,,,Pain,approx
Dermacinrx Lidorex,Lidocaine HCl,2562183.0,C01BB,"Antiarrhythmics, class Ib",Cardiovascular system,Pain,approx
Dermacinrx Prenatrix,Prenatal Vit No.170/Iron/Folic,2674505.0,,,,,approx
Dermacinrx Pretrate,Prenatal Vit No.170/Iron/Folic,2565327.0,,,,,approx
Dermotic,Fluocinolone Acetonide Oil,616088.0,C05AA,Corticosteroids,Cardiovascular system,Pruritus,exact
Descovy,Emtricitabine/Tenofov Alafenam,1747692.0,J05AF,Nucleoside and nucleotide reverse transcriptase inhibitors,Anti-infectives for systemic use,HIV Infections,exact
Desferal Mesylate,Deferoxamine Mesylate,151607.0,V03AC,Iron chelating agents,Various,Bone Diseases,exact
Desipramine HCl,Desipramine HCl,203174.0,N06AA,Non-selective monoamine reuptake inhibitors,Nervous system,Pain,exact
Desloratadine,Desloratadine,275635.0,R06AX,Other antihistamines for systemic use,Respiratory system,Urticaria,exact
Desmopressin Acetate,Desmopressin (Nonrefrigerated),3251.0,H01BA,Vasopressin and analogues,Systemic hormonal preparations,Enuresis,exact
Desmopressin Acetate*,Desmopressin Acetate,3251.0,H01BA,Vasopressin and analogues,Systemic hormonal preparations,Enuresis,exact
Desogestr-Eth Estrad Eth Estra,Desog-E.Estradiol/E.Estradiol,1358776.0,G03AA,"Progestogens and estrogens, fixed combinations",Genito-urinary system and sex hormones,Menorrhagia,approx
Desonide,Desonide,3254.0,D07AB,"Corticosteroids, moderately potent (group II)",Dermatologicals,Inflammation,exact
Desoximetasone,Desoximetasone,3255.0,D07AC,"Corticosteroids, potent (group III)",Dermatologicals,Inflammation,exact
Desvenlafaxine ER,Desvenlafaxine,790263.0,N06AX,Other antidepressants,Nervous system,Major Depressive Disorder,approx
Desvenlafaxine Succinate ER,Desvenlafaxine Succinate,2648691.0,N06AX,Other antidepressants,Nervous system,Major Depressive Disorder,approx
Detrol,Tolterodine Tartrate,216511.0,G04BD,Drugs for urinary frequency and incontinence,Genito-urinary system and sex hormones,Urinary Incontinence,exact
Detrol La,Tolterodine Tartrate,284712.0,,,,Urinary Incontinence,approx
Dexamethasone,Dexamethasone,22690.0,A01AC,Corticosteroids for local oral treatment,Alimentary tract and metabolism,Iritis,exact
Dexamethasone Intensol,Dexamethasone,216523.0,,,,Iritis,approx
Dexamethasone Sodium Phosphate,Dexamethasone Sodium Phosp/PF,1009150.0,A01AC,Corticosteroids for local oral treatment,Alimentary tract and metabolism,Iritis,exact
Dexamethasone Sodium Phosphate*,Dexamethasone Sodium Phosphate,1009150.0,A01AC,Corticosteroids for local oral treatment,Alimentary tract and metabolism,Iritis,exact
Dexedrine,Dextroamphetamine Sulfate,151612.0,N06BA,Centrally acting sympathomimetics,Nervous system,Narcolepsy,exact
Dexilant,Dexlansoprazole,902621.0,A02BC,Proton pump inhibitors,Alimentary tract and metabolism,Heartburn,exact
Dexlansoprazole Dr,Dexlansoprazole,816346.0,A02BC,Proton pump inhibitors,Alimentary tract and metabolism,Heartburn,approx
Dexmethylphenidate HCl,Dexmethylphenidate HCl,352372.0,N06BA,Centrally acting sympathomimetics,Nervous system,Attention Deficit Disorder with Hyperactivity,exact
Dexmethylphenidate HCl ER,Dexmethylphenidate HCl,1486242.0,,,,Attention Deficit Disorder with Hyperactivity,approx
Dextroamphetamine Sulfate,Dextroamphetamine Sulfate,3287.0,N06BA,Centrally acting sympathomimetics,Nervous system,Narcolepsy,exact
Dextroamphetamine Sulfate ER,Dextroamphetamine Sulfate,2649334.0,N06BA,Centrally acting sympathomimetics,Nervous system,Narcolepsy,approx
Dextroamphetamine-Amphet ER,Dextroamphetamine/Amphetamine,2689811.0,,,,,approx
Dextroamphetamine-Amphetamine,Dextroamphetamine/Amphetamine,253146.0,N06BA,Centrally acting sympathomimetics,Nervous system,Narcolepsy,exact
Dextrose 10%-0.45% NaCl,Dextrose 10 % And 0.45 % NaCl,244098.0,B05CX,Other irrigating solutions,Blood and blood forming organs,Dehydration,approx
Dextrose 5%-0.2% NaCl,Dextrose 5 %-0.2 % Sod Chlorid,1794882.0,,,,,approx
Dextrose 5%-0.45% NaCl,Dextrose 5 %-0.45 % Sod Chlord,1795251.0,,,,,approx
Dextrose 5%-0.9% NaCl,Dextrose 5 % And 0.9 % NaCl,1795345.0,,,,,approx
Dextrose In Lactated Ringers,Dextrose 5%-Lactated Ringers,604700.0,,,,,approx
Dextrose In Water,Dextrose 10 % In Water,216547.0,,,,,approx
Dhivy,Carbidopa/Levodopa,2586027.0,N04BA,Dopa and dopa derivatives,Nervous system,Parkinson Disease,exact
Diacomit,Stiripentol,2054974.0,N03AX,Other antiepileptics,Nervous system,Seizures,exact
Diastat Acudial,Diazepam,606509.0,,,,Panic Disorder,approx
Diazepam*,Diazepam,3322.0,N05BA,Benzodiazepine derivatives,Nervous system,Panic Disorder,exact
Diazoxide,Diazoxide,3327.0,C02DA,Thiazide derivatives,Cardiovascular system,Hyperphagia,exact
Dichlorphenamide,Dichlorphenamide,3353.0,S01EC,Carbonic anhydrase inhibitors,Sensory organs,Glaucoma,exact
Diclegis,Doxylamine Succinate/Vit B6,1375949.0,R06AA,Aminoalkyl ethers,Respiratory system,Seizures,exact
Diclofenac Epolamine,Diclofenac Epolamine,40968.0,D11AX,Other dermatologicals,Dermatologicals,Keratosis,exact
Diclofenac Potassium,Diclofenac Potassium,81997.0,D11AX,Other dermatologicals,Dermatologicals,Keratosis,exact
Diclofenac Sodium ER,Diclofenac Sodium,284717.0,,,,Keratosis,approx
Diclofenac Sodium*,Diclofenac Sodium,203214.0,D11AX,Other dermatologicals,Dermatologicals,Keratosis,exact
Diclofenac Sodium-Misoprostol,Diclofenac Sodium/Misoprostol,107334.0,,,,,approx
Dicloxacillin Sodium,Dicloxacillin Sodium,267257.0,J01CF,Beta-lactamase resistant penicillins,Anti-infectives for systemic use,Cellulitis,exact
Dicyclomine HCl*,Dicyclomine HCl,152021.0,A03AA,"Synthetic anticholinergics, esters with tertiary amino group",Alimentary tract and metabolism,Irritable Bowel Syndrome,exact
Differin,Adapalene,153184.0,D10AD,Retinoids for topical use in acne,Dermatologicals,Acne Vulgaris,exact
Dificid,Fidaxomicin,1111107.0,A07AA,Antibiotics,Alimentary tract and metabolism,"Enterocolitis, Pseudomembranous",exact
Diflorasone Diacetate,Diflorasone Diacetate,23033.0,D07AC,"Corticosteroids, potent (group III)",Dermatologicals,Pruritus,exact
Diflucan,Fluconazole,202813.0,D01AC,Imidazole and triazole derivatives,Dermatologicals,Fungemia,exact
Diflunisal,Diflunisal,3393.0,N02BA,Salicylic acid and derivatives,Nervous system,Pain,exact
Difluprednate,Difluprednate,23043.0,D07AC,"Corticosteroids, potent (group III)",Dermatologicals,,exact
Digitek,Digoxin,261504.0,C01AA,Digitalis glycosides,Cardiovascular system,Heart Failure,exact
Digoxin*,Digoxin,3407.0,C01AA,Digitalis glycosides,Cardiovascular system,Heart Failure,exact
Dihydroergotamine Mesylate*,Dihydroergotamine Mesylate,203176.0,N02CA,Ergot alkaloids,Nervous system,Xerostomia,exact
Dilantin,Phenytoin,202740.0,N03AB,Hydantoin derivatives,Nervous system,Status Epilepticus,exact
Dilantin-125,Phenytoin,216609.0,,,,Status Epilepticus,approx
Dilaudid,Hydromorphone HCl,224913.0,N02AA,Natural opium alkaloids,Nervous system,Cough,exact
Dilt-XR,Diltiazem HCl,539478.0,,,,Hypertension,approx
Diltiazem 12hr ER,Diltiazem HCl,374425.0,C05AE,Muscle relaxants,Cardiovascular system,Hypertension,approx
Diltiazem 24hr ER,Diltiazem HCl,374425.0,C05AE,Muscle relaxants,Cardiovascular system,Hypertension,approx
Diltiazem 24hr ER (Cd),Diltiazem HCl,647658.0,,,,Hypertension,approx
Diltiazem 24hr ER (La),Diltiazem HCl,379780.0,,,,Hypertension,approx
Diltiazem 24hr ER (XR),Diltiazem HCl,374425.0,C05AE,Muscle relaxants,Cardiovascular system,Hypertension,approx
Diltiazem HCl*,Diltiazem HCl,203211.0,C05AE,Muscle relaxants,Cardiovascular system,Hypertension,exact
Dimethyl Fumarate,Dimethyl Fumarate,1373478.0,L04AX,Other immunosuppressants,Antineoplastic and immunomodulating agents,,exact
Diovan,Valsartan,216652.0,C09CA,"Angiotensin II receptor blockers (ARBs), plain",Cardiovascular system,Hypertension,exact
Diovan HCT,Valsartan/Hydrochlorothiazide,216653.0,C03AA,"Thiazides, plain",Cardiovascular system,Edema,exact
Dipentum,Olsalazine Sodium,49131.0,A07EC,Aminosalicylic acid and similar agents,Alimentary tract and metabolism,"Colitis, Ulcerative",exact
Diphenhydramine HCl*,Diphenhydramine HCl,1362.0,M01AE,Propionic acid derivatives,Musculo-skeletal system,Nausea,exact
Diphenoxylate-Atropine,Diphenoxylate HCl/Atropine,594040.0,A03BA,"Belladonna alkaloids, tertiary amines",Alimentary tract and metabolism,Uveitis,exact
Diphtheria-Tetanus Toxoids-Ped,"Tetanus,Diphtheria Toxd Ped/PF",1007589.0,J07AF,Diphtheria vaccines,Anti-infectives for systemic use,Tetanus,approx
Diprolene,Betamethasone/Propylene Glyc,216664.0,A07EA,Corticosteroids acting locally,Alimentary tract and metabolism,Psoriasis,exact
Dipyridamole,Dipyridamole,3521.0,B01AC,Platelet aggregation inhibitors excl. heparin,Blood and blood forming organs,,exact
Diskets,Methadone HCl,670009.0,N07BC,Drugs used in opioid dependence,Nervous system,Intractable Pain,exact
Disopyramide Phosphate,Disopyramide Phosphate,203178.0,C01BA,"Antiarrhythmics, class Ia",Cardiovascular system,Atrial Flutter,exact
Disulfiram,Disulfiram,3554.0,N07BB,Drugs used in alcohol dependence,Nervous system,Alcoholism,exact
Ditropan XL,Oxybutynin Chloride,216671.0,,,,Dysuria,approx
Diuril,Chlorothiazide,216677.0,C03AA,"Thiazides, plain",Cardiovascular system,Edema,exact
Divalproex Sodium,Divalproex Sodium,266856.0,,,,Epilepsy,exact
Divalproex Sodium ER,Divalproex Sodium,834954.0,,,,Epilepsy,approx
Divigel,Estradiol,722259.0,G03CA,"Natural and semisynthetic estrogens, plain",Genito-urinary system and sex hormones,Menorrhagia,exact
Dobutamine HCl,Dobutamine HCl,203121.0,C01CA,Adrenergic and dopaminergic agents,Cardiovascular system,"Cardiac Output, Low",exact
Dobutamine HCl-D5W,Dobutamine HCl In Dextrose 5 %,1112867.0,,,,,approx
Docetaxel,Docetaxel,72962.0,L01CD,Taxanes,Antineoplastic and immunomodulating agents,Melanoma,exact
Dodex,Cyanocobalamin (Vitamin B-12),2598449.0,B03BA,Vitamin B12 (cyanocobalamin and analogues),Blood and blood forming organs,"Anemia, Pernicious",exact
Dofetilide,Dofetilide,49247.0,C01BD,"Antiarrhythmics, class III",Cardiovascular system,Atrial Flutter,exact
Dojolvi,TriHEPtanoin,2383556.0,A16AX,Various alimentary tract and metabolism products,Alimentary tract and metabolism,,exact
Dolishale,Levonorgestrel/Ethin.Estradiol,2668933.0,,,,,approx
Donepezil HCl,Donepezil HCl,135447.0,N06DA,Anticholinesterases,Nervous system,Alzheimer Disease,exact
Donepezil HCl ODT,Donepezil HCl,1250455.0,,,,Alzheimer Disease,approx
Doptelet,Avatrombopag Maleate,2045953.0,B02BX,Other systemic hemostatics,Blood and blood forming organs,Thrombocytopenia,exact
Doryx,Doxycycline Hyclate,216727.0,A01AB,Antiinfectives and antiseptics for local oral treatment,Alimentary tract and metabolism,Plague,exact
Doryx Mpc,Doxycycline Hyclate,1807781.0,,,,Plague,approx
Dorzolamide HCl,Dorzolamide HCl,236065.0,S01EC,Carbonic anhydrase inhibitors,Sensory organs,"Glaucoma, Open-Angle",exact
Dorzolamide-Timolol,Dorzolamide HCl/Timolol Maleat,662263.0,C07AA,"Beta blocking agents, non-selective",Cardiovascular system,Hypertension,exact
Dotti,Estradiol,2110769.0,G03CA,"Natural and semisynthetic estrogens, plain",Genito-urinary system and sex hormones,Menorrhagia,exact
Dovato,Dolutegravir Sodium/Lamivudine,2122521.0,J05AJ,Integrase inhibitors,Anti-infectives for systemic use,HIV Infections,exact
Doxazosin Mesylate,Doxazosin Mesylate,39173.0,C02CA,Alpha-adrenoreceptor antagonists,Cardiovascular system,Hypertension,exact
Doxepin HCl*,Doxepin HCl,203179.0,D04AX,Other antipruritics,Dermatologicals,Pain,exact
Doxercalciferol*,Doxercalciferol,11516.0,H05BX,Other anti-parathyroid agents,Systemic hormonal preparations,Hyperparathyroidism,exact
Doxil,Doxorubicin HCl PEG-Liposomal,80773.0,L01DB,Anthracyclines and related substances,Antineoplastic and immunomodulating agents,Wilms Tumor,exact
Doxorubicin HCl,Doxorubicin HCl,142433.0,L01DB,Anthracyclines and related substances,Antineoplastic and immunomodulating agents,Wilms Tumor,exact
Doxorubicin HCl Liposome,Doxorubicin HCl PEG-Liposomal,214525.0,L01DB,Anthracyclines and related substances,Antineoplastic and immunomodulating agents,Wilms Tumor,exact
Doxy 100,Doxycycline Hyclate,655512.0,,,,Plague,approx
